class,precision,recall,f1-score,support
0,0.9536945812807882,0.9958847736625515,0.9743331655762456,972.0
1,0.42857142857142855,0.06,0.10526315789473684,50.0
accuracy,0.9500978473581213,0.9500978473581213,0.9500978473581213,0.9500978473581213
macro avg,0.6911330049261084,0.5279423868312757,0.5397981617354912,1022.0
weighted avg,0.9280036246903107,0.9500978473581213,0.9318150634391855,1022.0
