variant,features,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,mcc,cohen_kappa,tn,fp,fn,tp,train_time,predict_time,stage
without_pca,21,4433808,1108453.0,0.9612342607219252,0.9152242328874902,0.0985972198677742,0.1780166806947739,0.9319410896677714,0.2933960454611674,0.1711529747144538,1060830,431,42539,4653,86.91462730000785,1.767006499998388,04_baseline
with_pca,11,4433808,1108453.0,0.9637882706799475,0.9722780233025312,0.1538396338362434,0.2656470114711209,0.9640757538251832,0.3792264081757788,0.257004262735785,1061054,207,39932,7260,70.28713529999368,2.2253641999996034,04_baseline
balance_only,21,377538,,0.8166417520634615,0.1807368429666849,0.9359849126970672,0.3029706501683894,0.937641950110168,0.3639441756526029,0.2494017786065264,861038,200223,3021,44171,4.480540200005635,1.6729243000008864,05_balancing_tuning
balance_pca,11,377538,,0.8572027862254872,0.2261774478196141,0.972219867774199,0.366980475592491,0.9713694724256118,0.4304028135526713,0.3200074058432532,904288,156973,1311,45881,3.909934700001031,1.6555010000010952,05_balancing_tuning
balance_pca_tuned,11,4433808,,0.9663630302773324,0.5590046574787674,0.9944270215290728,0.7156920308365677,0.9976401393726466,0.7322173054085923,0.6993014961044401,1024239,37022,263,46929,22.534030099996016,14.348045599996112,05_balancing_tuning
