dataset,protocol,pca,train_rows,train_positive,features,elapsed_seconds,evaluation,test_rows,test_positive,prevalence,accuracy,precision,recall,f1,roc_auc,average_precision,mcc,specificity,tn,fp,fn,tp
dataset1,split_then_resample,False,7778,3889,21,0.10156589499990787,original_test,1022,50,0.04892367906066536,0.7906066536203522,0.14035087719298245,0.64,0.2302158273381295,0.8270987654320988,0.19839146012688175,0.2271252111615015,0.7983539094650206,776,196,18,32
dataset1,split_then_resample,False,7778,3889,21,0.10156589499990787,balanced_real_test_same_model,100,50,0.5,0.76,0.8421052631578947,0.64,0.7272727272727273,0.8535999999999999,0.8702789521472297,0.5356556682297139,0.88,44,6,18,32
dataset1,split_then_resample,True,7778,3889,11,0.14156083299997135,original_test,1022,50,0.04892367906066536,0.7778864970645792,0.15294117647058825,0.78,0.25573770491803277,0.8136008230452675,0.162244179916107,0.2780427467147637,0.7777777777777778,756,216,11,39
dataset1,split_then_resample,True,7778,3889,11,0.14156083299997135,balanced_real_test_same_model,100,50,0.5,0.8,0.8125,0.78,0.7959183673469388,0.8036,0.7694028825283152,0.6004805767690767,0.82,41,9,11,39
dataset1,resample_then_split_inferred,False,7777,3891,21,0.12564130800001294,resampled_test,1945,970,0.4987146529562982,0.8647814910025707,0.8350710900473933,0.9082474226804124,0.8701234567901235,0.9533449643140364,0.9566026523167336,0.732423719860279,0.8215384615384616,801,174,89,881
dataset1,resample_then_split_inferred,True,7777,3891,11,0.09721248099992863,resampled_test,1945,970,0.4987146529562982,0.8318766066838046,0.786286731967943,0.9103092783505154,0.8437649307214524,0.8997906423473433,0.8620544359943969,0.6722520220757763,0.7538461538461538,735,240,87,883
