dataset,variant,features,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,mcc,cohen_kappa,tn,fp,fn,tp,train_time,predict_time
dataset1,without_pca,21,4088,1022,0.9500978473581213,0.42857142857142855,0.06,0.10526315789473684,0.8307201646090535,0.14616035522493023,0.09438092921430319,968,4,47,3,0.29699339999933727,0.00452190000214614
dataset1,with_pca,11,4088,1022,0.949119373776908,0.3333333333333333,0.04,0.07142857142857142,0.8010905349794238,0.1013224929778656,0.061590620144088226,968,4,48,2,0.2724744000006467,0.003452299992204644
