dataset,variant,features,train_rows,test_rows,accuracy,precision,recall,f1,roc_auc,mcc,cohen_kappa,tn,fp,fn,tp,train_time,predict_time
dataset2,without_pca,21,4433808,1108453,0.9612342607219251,0.9152242328874902,0.0985972198677742,0.1780166806947739,0.9319410896677714,0.29339604546116743,0.1711529747144538,1060830,431,42539,4653,86.91462730000785,1.7670064999983879
dataset2,with_pca,11,4433808,1108453,0.9637882706799477,0.9722780233025311,0.15383963383624344,0.26564701147112096,0.9640757538251833,0.3792264081757788,0.257004262735785,1061054,207,39932,7260,70.28713529999368,2.2253641999996034
