class,precision,recall,f1-score,support
0,0.9614462614048428,0.9995938793567275,0.9801490323981465,1061261.0
1,0.9152242328874902,0.0985972198677742,0.1780166806947739,47192.0
accuracy,0.9612342607219251,0.9612342607219251,0.9612342607219251,0.9612342607219251
macro avg,0.9383352471461666,0.5490955496122508,0.5790828565464602,1108453.0
weighted avg,0.9594783746565632,0.9612342607219251,0.9459985271971271,1108453.0
