dataset,protocol,pca,train_rows,train_positive,features,elapsed_seconds,evaluation,test_rows,test_positive,prevalence,accuracy,precision,recall,f1,roc_auc,average_precision,mcc,specificity,tn,fp,fn,tp
dataset2,split_then_resample,False,377538,188769,21,6.994420088999959,original_test,1108453,47192,0.04257465133839684,0.9183988856541504,0.3415456070562552,0.9879216816409561,0.5076022755110373,0.9891736547766021,0.8165599263872791,0.5549452327891484,0.9153073560603847,971380,89881,570,46622
dataset2,split_then_resample,False,377538,188769,21,6.994420088999959,balanced_real_test_same_model,94384,47192,0.5,0.9502458043736226,0.9186963033025932,0.9879216816409561,0.9520522769042271,0.9890345119331744,0.9867970264439797,0.9030589916770432,0.9125699271062891,43066,4126,570,46622
dataset2,split_then_resample,True,377538,188769,11,5.493418720999898,original_test,1108453,47192,0.04257465133839684,0.9679111338054026,0.57064536912099,0.9947236819799966,0.7252404310378123,0.9977654500140211,0.9551805278179527,0.7405467115368464,0.9667188373076934,1025941,35320,249,46943
dataset2,split_then_resample,True,377538,188769,11,5.493418720999898,balanced_real_test_same_model,94384,47192,0.5,0.9801343448042041,0.96652185550454,0.9947236819799966,0.9804200039682125,0.9976590777548384,0.9973875857549711,0.9606777348194637,0.9655450076284116,45566,1626,249,46943
dataset2,resample_then_split_inferred,False,377537,188769,21,6.2329182500000115,resampled_test,94385,47192,0.4999947025480744,0.9532552842082959,0.9275263831148065,0.9833446346838447,0.9546202583724184,0.9901336234459911,0.9882839625323658,0.9081565703917209,0.9231665713135423,43567,3626,786,46406
dataset2,resample_then_split_inferred,True,377537,188769,11,4.19348851899997,resampled_test,94385,47192,0.4999947025480744,0.9811834507601843,0.9693481046670249,0.9937913205628073,0.9814175403352376,0.9981468817761024,0.9979597414982841,0.9626730131530695,0.9685758481130676,45710,1483,293,46899
