class,precision,recall,f1-score,support
0,0.952755905511811,0.9958847736625515,0.9738430583501007,972.0
1,0.3333333333333333,0.04,0.07142857142857142,50.0
accuracy,0.949119373776908,0.949119373776908,0.949119373776908,0.949119373776908
macro avg,0.6430446194225722,0.5179423868312757,0.5226358148893361,1022.0
weighted avg,0.9224514743876193,0.949119373776908,0.9296936216122568,1022.0
