mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__clip_iqr,param_pca__n_components,param_model__subsample,param_model__scale_pos_weight,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_partial_auc_90,split1_test_partial_auc_90,split2_test_partial_auc_90,mean_test_partial_auc_90,std_test_partial_auc_90,rank_test_partial_auc_90,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.2397190729777018,0.03581847335850489,0.013501246770222982,0.0009163287031028088,False,0.95,0.8,1.0,1.0,0.0,600,1,3,0.03,0.8,"{'preprocess__clip_iqr': False, 'pca__n_components': 0.95, 'model__subsample': 0.8, 'model__scale_pos_weight': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5796273820459188,0.5722653787592253,0.5673105322228129,0.5730677643426524,0.005060241388155606,5,0.7974580033176796,0.8131449235304957,0.8025392817059485,0.804380736184708,0.006535191014235794,5,0.142107694850799,0.1558045559609318,0.13610453354644014,0.14467226145272363,0.008244411124094868,5
0.15151190757751465,0.004886017529968594,0.011919577916463217,0.0010334266321327073,True,13.0,1.0,1.0,5.0,0.0,400,1,3,0.1,0.8,"{'preprocess__clip_iqr': True, 'pca__n_components': 13, 'model__subsample': 1.0, 'model__scale_pos_weight': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5379657878136148,0.5585546924248155,0.5637663181522831,0.5534289327969044,0.011139177116869303,11,0.7738253779117311,0.787244333886125,0.7848625140291806,0.7819774086090122,0.0058457944897618,9,0.10972204544436512,0.12793618517954988,0.13396776258152937,0.12387533106848146,0.010306360558974607,10
0.3513201077779134,0.009633745662815373,0.013982375462849935,0.00029667679435405373,False,13.0,0.8,10.0,5.0,0.0,400,5,5,0.03,1.0,"{'preprocess__clip_iqr': False, 'pca__n_components': 13, 'model__subsample': 0.8, 'model__scale_pos_weight': 10.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.5653815269933438,0.5537420111916054,0.5725899344320398,0.5639044908723296,0.007765190677908345,8,0.7836966426018084,0.8043232909526443,0.7948115413393191,0.7942771582979239,0.008429267642109004,7,0.12443892408343486,0.13778926940522898,0.13758677396011362,0.13327165581625913,0.00624623158388875,8
0.4730350176493327,0.026036073903088184,0.017604509989420574,0.001034698477079145,False,0.99,1.0,20.0,10.0,0.0,400,5,7,0.03,0.8,"{'preprocess__clip_iqr': False, 'pca__n_components': 0.99, 'model__subsample': 1.0, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5758522611990128,0.5587001638978596,0.582644180597397,0.5723988685647564,0.01007549583367764,7,0.7740473353426321,0.8002119034457342,0.7926370183314628,0.788965419039943,0.010992622890635429,8,0.1262605096854127,0.1456180924700263,0.14003052077826245,0.1373030409779005,0.008134632233515711,7
0.5954844951629639,0.024927707392832447,0.01996167500813802,0.005348649728454977,False,0.99,1.0,20.0,1.0,0.5,400,1,7,0.03,0.8,"{'preprocess__clip_iqr': False, 'pca__n_components': 0.99, 'model__subsample': 1.0, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5615387736882684,0.5430134900546003,0.5593852757595448,0.5546458465008045,0.008272169231864778,10,0.7618630405831639,0.7935093053252257,0.7884048821548821,0.7812590760210906,0.013872476996015421,10,0.11671819679674768,0.12461592660041095,0.12978879116698147,0.1237076381880467,0.005374560458172259,11
0.06536102294921875,0.001337001606766687,0.012525558471679688,0.0016660714531582285,True,0.95,0.8,20.0,10.0,0.5,200,5,2,0.03,1.0,"{'preprocess__clip_iqr': True, 'pca__n_components': 0.95, 'model__subsample': 0.8, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.5729133234712913,0.6152643216665212,0.5833764053793293,0.5905180168390473,0.01801210190796312,1,0.8304011588514286,0.837680808918371,0.8185325476992144,0.828871505156338,0.007891719595011948,1,0.16462195127560747,0.18063620315074264,0.16044310055226332,0.16856708499287112,0.008703003626085882,1
0.15640473365783691,0.008949633004304637,0.013919671376546225,0.00030853134925305087,True,13.0,0.8,10.0,5.0,0.5,200,1,3,0.03,1.0,"{'preprocess__clip_iqr': True, 'pca__n_components': 13, 'model__subsample': 0.8, 'model__scale_pos_weight': 10.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.5679208183773374,0.5954802013325187,0.5739682399039124,0.5791230865379228,0.011826784011519778,4,0.8197004742879839,0.8198417634051963,0.8152239992517769,0.8182554123149858,0.0021443086723550086,4,0.14693748845684035,0.16382300564539753,0.14504952186558914,0.15193667198927566,0.008440173785766563,4
0.40692345301310223,0.012936090455904088,0.015016476313273111,0.0011235331342723527,False,0.95,1.0,5.0,10.0,0.0,200,1,7,0.1,1.0,"{'preprocess__clip_iqr': False, 'pca__n_components': 0.95, 'model__subsample': 1.0, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.5655844243678517,0.5566878085207491,0.5479527241223148,0.5567416523369718,0.007198212174076099,9,0.7629845097077171,0.8049566979915239,0.7728792555181445,0.7802734877391285,0.017915024419672822,11,0.11651586927797775,0.13344779819477262,0.12358097998580875,0.12451488248618636,0.006943903062927808,9
0.0813601016998291,0.0030155048487189463,0.011547168095906576,0.0018495743344231887,False,0.99,0.8,5.0,10.0,0.5,200,1,2,0.1,0.8,"{'preprocess__clip_iqr': False, 'pca__n_components': 0.99, 'model__subsample': 0.8, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5751636398067433,0.5744959413459021,0.5685903873038376,0.5727499894854943,0.0029538870482676586,6,0.7991285250344619,0.8113598673300165,0.8021651702207258,0.804217854195068,0.005200100461314659,6,0.14138802502273698,0.15248803059576826,0.13986696477915442,0.1445810067992199,0.0056254881302596664,6
0.10881710052490234,0.013232134974763152,0.01375738779703776,0.0004525989895842684,False,0.99,1.0,5.0,10.0,0.5,200,1,3,0.03,0.8,"{'preprocess__clip_iqr': False, 'pca__n_components': 0.99, 'model__subsample': 1.0, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5696423718580113,0.58872790045872,0.5983039458916651,0.5855580727361321,0.011913782281173926,3,0.8185556412233359,0.8231873042196425,0.8193450710811823,0.8203626721747203,0.0020231509281343173,3,0.14620003371451115,0.16234675585911804,0.166399192011498,0.1583153271950424,0.00872509070752586,3
