mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampler__sampling_strategy,param_sampler__k_neighbors,param_preprocess__clip_iqr,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_partial_auc_90,split1_test_partial_auc_90,split2_test_partial_auc_90,mean_test_partial_auc_90,std_test_partial_auc_90,rank_test_partial_auc_90,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.22553499539693198,0.010304579163855033,0.013136148452758789,0.0011640110405567784,0.5,3,True,0.8,5.0,0.5,400,5,3,0.03,0.8,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5870546556339682,0.552626729898267,0.567532045602221,0.5690711437114854,0.014097213314651823,4,0.8344197565477443,0.7773747005712179,0.8089459408903854,0.8069134660031159,0.023332849782610368,6,0.16071602045844605,0.14020807036865746,0.137015417989942,0.14597983627234848,0.010501257085948425,5
0.33291395505269367,0.019443482043929414,0.02033686637878418,0.0033402495176558986,0.5,5,True,1.0,1.0,0.5,600,5,5,0.1,0.8,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 5, 'preprocess__clip_iqr': True, 'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5858618650080729,0.5581304006284368,0.5566163585169432,0.5668695413844843,0.013443817621151745,6,0.8064297563141047,0.7661230882623918,0.7699448185559297,0.7808325543774753,0.01816707582134177,11,0.14886499520462135,0.14925302008528687,0.1265972064207855,0.14157174057023125,0.010589779524670356,7
0.4130210081736247,0.011746519292814839,0.014991124471028646,0.001488366439167796,1.0,5,True,0.8,5.0,0.5,400,1,5,0.1,1.0,"{'sampler__sampling_strategy': 1.0, 'sampler__k_neighbors': 5, 'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.559626619643663,0.5481777273476671,0.5421195384645677,0.5499746284852992,0.007259298089424157,12,0.8029952571201607,0.7558734107241571,0.7669986906098017,0.7752891194847066,0.020110785002738052,12,0.13322024732333917,0.14607815193144055,0.10871610244407583,0.12933816723295186,0.01549803417308593,11
0.19970011711120605,0.008577265799851554,0.014138301213582357,0.0018982273228316184,0.25,7,False,1.0,10.0,0.5,600,5,2,0.1,0.8,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 7, 'preprocess__clip_iqr': False, 'model__subsample': 1.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.6076395165385954,0.5545905947843628,0.5513246500088606,0.5711849204439395,0.025811751601903198,3,0.8315693558561716,0.771731619679381,0.7791280864197532,0.7941430206517687,0.026636126535022717,8,0.1770170585688375,0.14529897571904488,0.11601035966894396,0.14610879798560877,0.024912462567198975,4
0.22201983133951822,0.008851574059047148,0.014583349227905273,0.0026483091106924237,0.25,3,False,0.8,5.0,0.0,600,1,2,0.1,0.8,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5799778411473416,0.5570029967123447,0.5463159863744659,0.5610989414113842,0.01404427971146346,9,0.8265811546459195,0.7679887599041828,0.7983539094650205,0.7976412746717075,0.023925552123958103,7,0.1614774152261599,0.1329979800691114,0.12253622811660314,0.13900387447062482,0.016455132715903067,9
0.19478766123453775,0.012669548649644442,0.012897729873657227,0.0011910062764848009,0.25,7,True,1.0,5.0,0.0,200,5,7,0.03,1.0,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 7, 'preprocess__clip_iqr': True, 'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.5992530917255992,0.5530752669401531,0.554019729458326,0.5687826960413594,0.021549273185387022,5,0.8285670895539823,0.8016169154228856,0.791456228956229,0.8072134113110323,0.015658747677597572,5,0.16313332729648136,0.13875792369373421,0.11957475354822909,0.14048866817948155,0.017824775718115717,8
0.20828866958618164,0.016304619150565195,0.012789249420166016,0.0028157212456294536,0.5,5,True,0.8,1.0,0.0,400,1,2,0.1,1.0,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 5, 'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.5930985380321906,0.534515531504272,0.550118632720972,0.5592442340858116,0.02477161835199051,10,0.8211023106936753,0.7544223327805418,0.7853418443696222,0.7869554959479464,0.027245889808509526,9,0.16192676373562306,0.12383331376268894,0.12421104307419431,0.13665704019083544,0.017869058282977836,10
0.15883406003316244,0.004956664591986869,0.012062867482503256,0.0025513535521948616,0.25,5,True,0.8,5.0,0.0,200,5,3,0.1,0.8,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 5, 'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.6043193776830104,0.5435105175875011,0.5478542737314667,0.5652280563339928,0.027698563235526392,7,0.8371182916287003,0.7963999447208402,0.7926077908716799,0.8087086757404068,0.020148197833292032,4,0.16601735303765983,0.16291906751708699,0.11882376492952515,0.149253395161424,0.02155414330361747,3
0.18746066093444824,0.012560348587180586,0.012320200602213541,0.0020792638365390147,0.25,3,False,0.8,5.0,0.0,200,5,3,0.03,0.8,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5844969190341102,0.5747868842919903,0.5763248961348376,0.578536233153646,0.00426135363715631,1,0.8378893016518304,0.8033904551317487,0.820701225215114,0.8206603273328977,0.014084124804938267,2,0.1657627374375794,0.15080259479748037,0.15039452099902348,0.1556532844113611,0.007150403784553377,2
0.16732446352640787,0.0022970405912330957,0.012286106745402018,0.0010061901370146868,0.5,3,False,1.0,1.0,0.0,200,1,2,0.03,0.8,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': False, 'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5964248252930637,0.5638219720112886,0.575032734754957,0.5784265106864365,0.013524663811793524,2,0.8468668956332797,0.8035862354892205,0.8168315095398428,0.8224282135541143,0.018107019034873557,1,0.17831062945420043,0.16496666510877475,0.15079777522497606,0.16469168992931707,0.011233758512377639,1
