mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocess__clip_iqr,param_model__subsample,param_model__scale_pos_weight,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_partial_auc_90,split1_test_partial_auc_90,split2_test_partial_auc_90,mean_test_partial_auc_90,std_test_partial_auc_90,rank_test_partial_auc_90,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.06377283732096355,0.012003251679972276,0.012803395589192709,0.0023537048040403806,False,0.8,1.0,1.0,0.0,200,1,2,0.1,0.8,"{'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__scale_pos_weight': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.6289252956460682,0.5960014741109269,0.5951350739362435,0.6066872812310795,0.01572862838174617,1,0.8468727366183033,0.8250760088446656,0.8188715862326973,0.8302734438985554,0.012007667108529255,4,0.20985683043058864,0.17840836116837838,0.1740960807652631,0.18745375745474335,0.015938887448408677,2
0.12447285652160645,0.024157589610924353,0.016297022501627605,0.0029016023808774256,True,1.0,10.0,1.0,0.5,200,5,7,0.1,1.0,"{'preprocess__clip_iqr': True, 'model__subsample': 1.0, 'model__scale_pos_weight': 10.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.5848166361090924,0.5713319368071921,0.5552011341485026,0.5704499023549291,0.012106554083791668,11,0.8062778907034883,0.7885456974387322,0.7989735316124205,0.797932373251547,0.007276477057110288,11,0.15751693511513742,0.16147515194009698,0.14914108117992372,0.1560443894117194,0.005141894496242376,12
0.210982879002889,0.0474132536552161,0.018837769826253254,0.003981443378330188,False,0.8,20.0,1.0,0.0,400,5,7,0.03,0.8,"{'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.6221251593974071,0.5883520991533561,0.5644062456927954,0.5916278347478529,0.023677219467579558,7,0.8297002406485829,0.8043463239358762,0.8124298540965207,0.8154921395603267,0.010574764532133246,8,0.19249389354584598,0.17129307660548804,0.14972050212706042,0.17116915742613148,0.017462383768898197,6
0.34425075848897296,0.01983599611721528,0.021122852961222332,0.002899375631207164,False,0.8,20.0,10.0,0.0,400,1,7,0.03,1.0,"{'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.6130685584080058,0.5861457818121866,0.5584253844487763,0.5858799082229896,0.022308774531690855,8,0.8374570687600756,0.8128224617652479,0.8102904040404041,0.8201899781885759,0.01225335713682221,6,0.18703036350787847,0.16191115842987158,0.15010912804489687,0.16635021666088232,0.01539639212092583,8
0.09741727511088054,0.0010857303276366977,0.012975215911865234,0.0015305747230858451,False,0.8,20.0,10.0,0.5,400,5,3,0.03,1.0,"{'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.6297491819546764,0.608233200469388,0.5794937680902593,0.6058253835047746,0.020587210310809838,2,0.8480759795331885,0.8283466924636078,0.8188365132809576,0.8317530617592513,0.012177550670874216,2,0.2038703290115091,0.20382312443328884,0.16899441111498337,0.19222928818659377,0.01642955043953194,1
0.10000260670979817,0.005414264866819505,0.012497584025065104,0.0006882092964460179,False,1.0,20.0,1.0,0.5,600,1,2,0.1,1.0,"{'preprocess__clip_iqr': False, 'model__subsample': 1.0, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.6260601387818042,0.588242995548573,0.5643201016008034,0.5928744119770601,0.02541712757673964,6,0.8386252657648186,0.7944191081628892,0.7966937897493453,0.8099127212256844,0.020324061347964946,9,0.18686815392178305,0.15276277647591407,0.14924019797600893,0.16295704279123535,0.016968756906838127,9
0.33406488100687665,0.023109373843044845,0.024976174036661785,0.00372268065960429,False,0.8,5.0,5.0,0.5,600,1,7,0.03,0.8,"{'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.6217808487012724,0.5805936205910021,0.5544750625159982,0.5856165106027575,0.0277060677055539,9,0.8360552323543842,0.8088838216325778,0.8036031612420501,0.8161807384096708,0.014217781723575627,7,0.18990435643888046,0.1685713272746539,0.14070509312269802,0.16639359227874412,0.020144457881314342,7
0.08626866340637207,0.0002907033345170587,0.012852827707926432,0.00259630356928066,True,0.8,20.0,5.0,0.5,200,1,5,0.1,1.0,"{'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.5880445488853556,0.5679860929271769,0.5510908303305964,0.5690404907143763,0.015104704449857733,12,0.8260788299338802,0.7899276764326516,0.8040123456790123,0.8066729506818481,0.014878073107836317,10,0.15966910262192874,0.17166240128722698,0.15353627332437694,0.16162259241117757,0.007527780571497732,10
0.055298964182535805,0.009638027091651118,0.0107728640238444,0.0019378078699925092,True,0.8,20.0,5.0,0.0,200,1,2,0.03,0.8,"{'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__scale_pos_weight': 20.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.6098529424423187,0.6014324091045746,0.5847731702994861,0.5986861739487931,0.0104212954515338,5,0.8607801219597673,0.8405196241017137,0.8226477740366629,0.8413158400327146,0.01557764336881022,1,0.18393710995870657,0.19086057091985528,0.17234536116193266,0.18238101401349818,0.00763846948186126,4
0.21890711784362793,0.007926006150826502,0.02157441775004069,0.0021390143057314717,True,1.0,5.0,5.0,0.0,600,5,7,0.1,0.8,"{'preprocess__clip_iqr': True, 'model__subsample': 1.0, 'model__scale_pos_weight': 5.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 7, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5903502008684007,0.5775144744115679,0.5631510032094827,0.5770052261631505,0.011109863145154986,10,0.8019438798158922,0.7870370370370371,0.7841610549943884,0.7910473239491059,0.007793972692446646,12,0.16387214861831437,0.17039313192694555,0.14207689169936705,0.15878072408154234,0.012107692266123413,11
