mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampler__sampling_strategy,param_sampler__k_neighbors,param_preprocess__clip_iqr,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_partial_auc_90,split1_test_partial_auc_90,split2_test_partial_auc_90,mean_test_partial_auc_90,std_test_partial_auc_90,rank_test_partial_auc_90,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.26524988810221356,0.025859551835532246,0.015425682067871094,0.00184907207136475,0.5,3,True,0.8,5.0,0.5,400,5,3,0.03,0.8,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 400, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5858003809551917,0.5603973310833745,0.5671997755331089,0.571132495857225,0.010737114837742187,5,0.8132052989416135,0.7950640316933849,0.8053334268612046,0.8045342524987343,0.0074276691763134495,7,0.15191502389620956,0.14581471720213418,0.13632988562445017,0.14468654224093128,0.006412421164935995,6
0.4912263552347819,0.04857152849959291,0.02020120620727539,0.003984382106494699,0.5,5,True,1.0,1.0,0.5,600,5,5,0.1,0.8,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 5, 'preprocess__clip_iqr': True, 'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5513754597470054,0.5543238970837818,0.5494787051804596,0.5517260206704155,0.0019935129571974964,11,0.7757529029695569,0.7743343467845956,0.7600776281331837,0.7700549592957787,0.007078767701539602,12,0.11735681301907092,0.15675744951346837,0.12601237681559335,0.13337554644937755,0.01690689680441727,10
0.5613497098286947,0.05260577965492646,0.019114891688028973,0.000999349239327775,1.0,5,True,0.8,5.0,0.5,400,1,5,0.1,1.0,"{'sampler__sampling_strategy': 1.0, 'sampler__k_neighbors': 5, 'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.5474343319573203,0.557597005227275,0.5525921987910292,0.5525411786585415,0.004149050838316489,10,0.7811616551015164,0.7777086788280817,0.7737794612794613,0.7775499317363531,0.003015857742660312,10,0.1194323282270632,0.14219823477181007,0.13141966995610557,0.1310167443183263,0.009298508375118447,11
0.1708357334136963,0.014718692775136577,0.014590740203857422,0.0024490652609903086,0.25,7,False,1.0,10.0,0.5,600,5,2,0.1,0.8,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 7, 'preprocess__clip_iqr': False, 'model__subsample': 1.0, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 5, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5926005172038529,0.5819028638483993,0.5573362770000196,0.5772798860174239,0.01476303045465664,2,0.8275974860400459,0.8055785885387874,0.8006862607557053,0.8112874451115127,0.011704608610916097,4,0.17700984787165147,0.1762791513545902,0.1344616772577314,0.16258355882799103,0.019887410534285128,1
0.19365811347961426,0.017737837857120742,0.014734347661336264,0.002130679975697869,0.25,3,False,0.8,5.0,0.0,600,1,2,0.1,0.8,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5788834250060562,0.5671253867116658,0.5522353161242051,0.566081375947309,0.010904063328313821,8,0.8116983248054953,0.7880735212824764,0.8063973063973063,0.8020563841617593,0.010121447187914414,8,0.15512084028739137,0.14343165807925798,0.13400722802938503,0.14418657546534477,0.008636109495994942,7
0.2174400488535563,0.039440119248782324,0.015087207158406576,0.0023793774862427433,0.25,7,True,1.0,5.0,0.0,200,5,7,0.03,1.0,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 7, 'preprocess__clip_iqr': True, 'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.5730116979559011,0.5699620804360265,0.5633479039911788,0.5687738941277022,0.004033697102792733,6,0.806055933272587,0.8177975861433573,0.8018436681631125,0.808565729193019,0.006750613868469413,5,0.14527099211623104,0.17056261056162889,0.1424958550619398,0.15277648591326656,0.012627615740189863,4
0.1838207244873047,0.012735642579426214,0.01494447390238444,0.0009978655873969268,0.5,5,True,0.8,1.0,0.0,400,1,2,0.1,1.0,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 5, 'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.5742598242293896,0.5604700668198966,0.546352905271034,0.5603609321067734,0.011393213308113546,9,0.8034625359220579,0.781186659296112,0.7896791994014216,0.7914427982065305,0.009179193153454049,9,0.14346266799383967,0.13883004954051512,0.11796648380563184,0.13341973377999555,0.011089559339341054,9
0.0968628724416097,0.016451004673243667,0.013876597086588541,0.002123879418151722,0.25,5,True,0.8,5.0,0.0,200,5,3,0.1,0.8,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 5, 'preprocess__clip_iqr': True, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.5807771338347973,0.5818422507346309,0.5683319550278615,0.5769837798657632,0.006133197821249973,3,0.8065232120744841,0.8134328358208955,0.7986637205387206,0.8062065894780334,0.006033621298246506,6,0.15597626072162415,0.1691653306052486,0.1350242470301866,0.15338861278568647,0.014057627545218153,3
0.09502148628234863,0.0028196624706609353,0.013162851333618164,0.001504860449636168,0.25,3,False,0.8,5.0,0.0,200,5,3,0.03,0.8,"{'sampler__sampling_strategy': 0.25, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 5, 'model__max_depth': 3, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5829536693067919,0.5677315178493497,0.5665106227971726,0.5723986033177714,0.00748018313976073,4,0.8289525945655476,0.8185576745900129,0.8169484193789749,0.8214862295115118,0.0053202368947042455,2,0.15837013241712614,0.1458681219024493,0.14323636827878874,0.14915820753278805,0.006601828122569682,5
0.07601173718770345,0.007456959669816118,0.011215845743815104,0.0006818107852057708,0.5,3,False,1.0,1.0,0.0,200,1,2,0.03,0.8,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': False, 'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.5560666929818413,0.5867700968840011,0.5910739953137614,0.5779702617265347,0.015587508422634481,1,0.8271769351183383,0.8209358301087157,0.8242260568649458,0.8241129406973332,0.0025491756034472,1,0.1498517858264043,0.1607518581048181,0.155100391514087,0.1552346784817698,0.00445094886220368,2
0.2668434778849284,0.027725526229489057,0.0171969731648763,0.0004265184363939836,0.5,3,False,0.8,10.0,0.0,600,1,2,0.03,1.0,"{'sampler__sampling_strategy': 0.5, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': False, 'model__subsample': 0.8, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.5628237903934856,0.5667859532745628,0.5716485025695552,0.5670860820792012,0.0036089189722268255,7,0.818473867433004,0.8029988944168048,0.8180941358024691,0.8131889658840926,0.007207136112175313,3,0.14903473596719194,0.13897150662997224,0.14355667436217687,0.14385430565311366,0.004113683220860058,8
1.497301419576009,0.05600782848619863,0.020590543746948242,0.00023130092160882266,1.0,3,True,1.0,1.0,0.5,600,1,7,0.03,1.0,"{'sampler__sampling_strategy': 1.0, 'sampler__k_neighbors': 3, 'preprocess__clip_iqr': True, 'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.5, 'model__n_estimators': 600, 'model__min_child_weight': 1, 'model__max_depth': 7, 'model__learning_rate': 0.03, 'model__colsample_bytree': 1.0}",0.5583108609120053,0.5443591011802585,0.540692007797271,0.5477873232965116,0.007590367862338026,12,0.7868858204247565,0.7624147779620416,0.7820800598578377,0.7771268860815453,0.010586419843258699,11,0.1373967789375096,0.12673398011294462,0.1145879776224803,0.12623957889097817,0.009318214377706063,12
