feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
age,0.50189865,-0.61841106,-0.38477492,0.0012693813,0.06712871,0.0044332123,0.01754103,-0.29830325,-0.25833026,-0.051380035,0.08406136
avg_glucose_level,0.71041685,0.66044986,-0.17964016,-0.07406761,-0.12402611,0.023930851,0.0037343071,0.03190065,0.017953545,-0.016767614,-0.019126315
bmi,0.3757738,-0.14539215,0.8847801,0.036976393,0.0009916039,-0.17439866,-0.02261692,-0.085129015,-0.09215184,-0.04074259,0.012054656
hypertension,0.08286887,-0.045526527,-0.034448195,-0.026097775,-0.033199593,-0.1103678,0.079050265,-0.21290089,0.019303884,0.241706,-0.15050337
heart_disease,0.06973033,-0.005250066,-0.0506228,0.036462333,0.060237236,0.03779784,-0.022900537,-0.083465956,-0.11658878,0.14473128,0.09653391
gender_Female,-0.03674525,-0.09555936,0.026535673,-0.36737266,-0.54406476,0.108374014,-0.20737343,-0.026157616,-0.020417796,0.014696931,-0.012680052
gender_Male,0.0367757,0.09533384,-0.026464688,0.36723948,0.5441566,-0.10853935,0.20744465,0.026576113,0.019913647,-0.014880196,0.012699625
gender_Other,-3.0437704e-05,0.00022553412,-7.093143e-05,0.00013325945,-9.182124e-05,0.00016542008,-7.121117e-05,-0.0004185451,0.00050404307,0.00018332001,-1.9676572e-05
ever_married_No,-0.16811982,0.20123115,0.032120086,-0.06909272,-0.020683309,-0.08843196,0.1554606,-0.55307585,-0.14836212,0.16130589,0.05590706
ever_married_Yes,0.16811986,-0.20123118,-0.032120083,0.069092765,0.02068332,0.088432,-0.1554607,0.55307597,0.14836207,-0.16130584,-0.055907022
work_type_Govt_job,0.010843758,-0.010223193,-0.017766947,-0.036820002,-0.029246714,-0.19782038,-0.055342954,0.120814376,-0.0136733465,0.045192335,0.7650123
work_type_Never_worked,-0.0021322102,0.0030152227,0.0006635565,-0.0013061756,0.00014119626,-0.0028533419,0.0034848868,-0.0014587579,0.001677426,0.0010651998,0.0011043457
work_type_Private,0.047289595,-0.030244293,0.13145648,0.094985336,0.055206545,0.7799795,0.12212235,-0.1312898,-0.006470162,-0.043825854,-0.17196776
work_type_Self-employed,0.041524626,-0.099892244,-0.08983504,-0.053038925,-0.028540317,-0.49068305,-0.03492686,0.05277508,0.059771657,0.06854255,-0.57156
work_type_children,-0.0975258,0.13734451,-0.024518013,-0.0038203567,0.002439221,-0.08862293,-0.035337295,-0.04084088,-0.041305676,-0.070974365,-0.022589138
Residence_type_Rural,-0.01147857,-0.0027012958,-0.03231227,0.5807829,-0.39699218,-0.039566595,-0.0015806016,-0.033197504,-0.023640545,0.01969631,0.006327497
Residence_type_Urban,0.011478568,0.0027012948,0.032312267,-0.5807829,0.39699218,0.039566558,0.0015805941,0.033197496,0.02364055,-0.019696254,-0.0063274917
smoking_status_Unknown,-0.11044898,0.1350002,-0.019198606,0.026601663,0.05010333,-0.056414135,-0.24410662,-0.049797874,-0.52733326,-0.566141,-0.06808143
smoking_status_formerly smoked,0.063545056,-0.045705825,-0.012416205,0.071584076,0.09274144,0.008246876,-0.37921494,-0.3371553,0.6816053,-0.03473746,0.06210146
smoking_status_never smoked,0.028174102,-0.09333029,0.0047276053,-0.13058582,-0.21489301,-0.0551053,0.7806494,0.13115472,0.15139721,-0.1160029,0.04349409
smoking_status_smokes,0.018729806,0.0040358724,0.026887184,0.03240005,0.07204823,0.10327261,-0.15732765,0.2557985,-0.30566922,0.7168818,-0.037514105
