mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__reg_lambda,param_model__reg_alpha,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__colsample_bytree,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_average_precision,split1_test_average_precision,split2_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
0.9850502808888754,0.049658211979772694,0.02357649803161621,0.0006303434042238844,1.0,1.0,0.0,800,1,4,0.1,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 800, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.7889068012429616,0.7532361341440943,0.7666830340441451,0.7696086564770669,0.014708695223904498,22,0.13985074765840494,0.1457131848038309,0.13375113517343654,0.1397716892118908,0.004883806269600131,2
1.143401861190796,0.13467618298790304,0.027095556259155273,0.000983867557937966,0.8,5.0,0.0,800,5,6,0.03,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 800, 'model__min_child_weight': 5, 'model__max_depth': 6, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.7882759748604005,0.7880159388243966,0.7719089038533482,0.7827336058460483,0.007654956329423924,8,0.12221100476077676,0.1424919028160595,0.13061349613062676,0.13177213456915435,0.008320077674141352,14
0.3509986400604248,0.01150387341028845,0.015092213948567709,0.0003514134752855594,0.8,5.0,0.1,400,1,3,0.1,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.7847363379360295,0.7716740372213009,0.7809343434343434,0.7791149061972247,0.005485659418602935,17,0.12561010908310005,0.13861809539861933,0.13393146399235933,0.13271988949135957,0.005379148729107534,10
0.2774969736735026,0.004388091076171132,0.015568415323893229,0.00042252931059817163,1.0,1.0,0.0,400,1,3,0.1,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.7904488212892222,0.7650750875253363,0.7744692293303405,0.776664379381633,0.010474432493486502,19,0.13622895341932117,0.14332888466975086,0.11922836811742618,0.13292873540216607,0.01011195014962611,8
1.0936071872711182,0.04666003479667767,0.0343022346496582,0.006534910939826638,1.0,5.0,0.1,800,5,6,0.1,1.0,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__min_child_weight': 5, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 1.0}",0.7685918553304829,0.7641422517044406,0.7429386457164235,0.7585575842504491,0.01119265157158844,24,0.11853993229788518,0.13726638721074452,0.11927907817096135,0.12502846589319702,0.008658776772203803,23
0.2619338830312093,0.010334367414143232,0.02196200688680013,0.010749706128192342,1.0,1.0,0.0,200,1,5,0.05,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 1.0, 'model__reg_alpha': 0.0, 'model__n_estimators': 200, 'model__min_child_weight': 1, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 0.8}",0.7882292469802109,0.7784802837663534,0.7776491769547326,0.781452902567099,0.004803597078365051,10,0.13096507106457375,0.13160479434066388,0.11755529976980791,0.12670838839168186,0.006477478159356024,21
0.4713759422302246,0.052102757373920894,0.02324851353963216,0.0017384431510122232,1.0,5.0,0.1,800,1,2,0.1,0.8,"{'model__subsample': 1.0, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.7885329782014439,0.7730214667403722,0.7855522820800599,0.782368909007292,0.006720721441534741,9,0.13094811109283072,0.1425899695312547,0.1184157880949785,0.1306512895730213,0.009871299789101283,15
0.22803187370300293,0.018948024871207194,0.015071551005045572,0.0012995082217684127,0.8,10.0,0.1,400,1,2,0.03,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 10.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 400, 'model__min_child_weight': 1, 'model__max_depth': 2, 'model__learning_rate': 0.03, 'model__colsample_bytree': 0.8}",0.8071715614121164,0.8115441311958724,0.8077768424990648,0.8088308450356845,0.0019344306033653533,1,0.1380438175173444,0.14083361849293916,0.14259268422515747,0.14049004007848034,0.0018728911120731774,1
1.1870145003000896,0.04383049061787359,0.026386260986328125,0.0013399099115775953,0.8,5.0,0.1,800,3,6,0.1,0.8,"{'model__subsample': 0.8, 'model__reg_lambda': 5.0, 'model__reg_alpha': 0.1, 'model__n_estimators': 800, 'model__min_child_weight': 3, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__colsample_bytree': 0.8}",0.7717459872432887,0.7736663902708678,0.7557987280209502,0.7670703685117023,0.008008720100059883,23,0.12496570400519232,0.14135079095376774,0.13248255068922007,0.13293301521606005,0.006696763262728745,7
1.1057180563608806,0.060510289377252564,0.0235903263092041,0.0009900974460074065,0.8,10.0,1.0,800,5,5,0.05,1.0,"{'model__subsample': 0.8, 'model__reg_lambda': 10.0, 'model__reg_alpha': 1.0, 'model__n_estimators': 800, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__learning_rate': 0.05, 'model__colsample_bytree': 1.0}",0.7806943762996191,0.7844227934402064,0.7734287317620651,0.7795153005006302,0.004565085822524037,15,0.11768502857966232,0.14632605255957745,0.13370780940561086,0.1325729635149502,0.011720152730835907,11
