feature,mean_abs_shap
PC1,1.0091089
PC2,0.6869251
PC3,0.3378755
PC9,0.29699352
PC10,0.20509596
PC7,0.16252273
PC11,0.15013726
PC4,0.10179472
PC5,0.09487858
PC8,0.056616943
PC6,0.022088224
