dataset,metric,paper,reproduction,difference
dataset1,CV Accuracy,0.9532,0.7651721079629896,-0.18802789203701042
dataset2,CV Accuracy,0.99028,0.9653751356350208,-0.024904864364979296
dataset2,MCC,0.9634,0.7322173054085923,-0.23118269459140772
dataset2,Cohen Kappa,0.9632,0.6993014961044401,-0.2638985038955598
