dataset,sampler,pca_components,pca_explained_variance,cv_accuracy,cv_accuracy_std,cv_precision,cv_recall,cv_f1,cv_roc_auc,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_mcc,test_cohen_kappa,paper_cv_accuracy,paper_mcc,paper_cohen_kappa
dataset1,SMOTE,11,0.9650456309318542,0.7651721079629896,0.0307776355323451,0.14199889226882634,0.7426315789473684,0.2380710180683716,0.8237823638250477,0.7818003913894325,0.1553784860557769,0.78,0.2591362126245847,0.8117592592592593,0.2815838287239382,0.19331591876030896,0.9532,,
dataset2,RandomUnderSampler,11,0.9586086048989102,0.9653751356350208,0.0010031138661451985,0.5519347363086182,0.9937065931543337,0.7096626047124863,0.9974660388024775,0.9663630302773325,0.5590046574787674,0.9944270215290727,0.7156920308365677,0.9976401393726466,0.7322173054085923,0.6993014961044401,0.99028,0.9634,0.9632
