class,precision,recall,f1-score,support
0,0.9637306923067142,0.9998049490181963,0.9814364408876507,1061261.0
1,0.9722780233025311,0.15383963383624344,0.26564701147112096,47192.0
accuracy,0.9637882706799477,0.9637882706799477,0.9637882706799477,0.9637882706799477
macro avg,0.9680043578046227,0.5768222914272199,0.6235417261793859,1108453.0
weighted avg,0.964094591943735,0.9637882706799477,0.9509619554985319,1108453.0
