mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__gamma,param_model__learning_rate,param_model__max_depth,param_model__min_child_weight,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.49906333287556964,0.015191555502556627,0.012360016504923502,0.0012650793455911298,0.8,0.2,0.03,3,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8014824419990186,0.7902040722314354,0.8167672091283202,0.8028179077862582,0.010885392723043312,1,0.9171322403230298,0.9156017366102209,0.9150010583728895,0.9159116784353801,0.0008972298395201982
0.843842347462972,0.03182285169136587,0.012021621068318685,0.0005923730293855477,0.8,0.0,0.03,3,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.8005420434102007,0.7912751059517228,0.8149726430976432,0.8022632641531889,0.009750735607468754,2,0.9247685185185185,0.9221563884116911,0.9234636920105894,0.9234628663135996,0.0010663978104128971
0.44833898544311523,0.00584026525179604,0.012071927388509115,0.0006496487709973048,0.8,0.2,0.03,3,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7995315530010981,0.7911829740187949,0.8157676300037411,0.802160719007878,0.010207373573155924,3,0.9241666086512578,0.9211864109665883,0.9237739547480347,0.9230423247886269,0.0013220832949187053
0.546451727549235,0.11474121794986253,0.01183931032816569,0.0005147725399596961,0.8,0.0,0.03,3,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7999287399827106,0.7887242030587801,0.8172348484848485,0.8019625971754465,0.011727934088124276,4,0.9176253712986169,0.9153723895335928,0.9156592793205536,0.9162190133842545,0.0010013185889725781
0.780848503112793,0.04286360318482892,0.014743566513061523,0.0017426019002611244,0.8,0.0,0.03,5,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7944323730753954,0.7803689883913765,0.7988683127572018,0.7912232247413247,0.00788586183286507,5,0.9759613153253504,0.9725937547476305,0.9707425138240896,0.9730991946323568,0.0021603355272109097
0.6445019245147705,0.0074969955026833405,0.014122327168782553,0.0003690550352854587,0.8,0.2,0.03,5,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7950982453680989,0.7806281094527363,0.7978862701084922,0.7912042083097758,0.00756455201421585,6,0.9762194838949224,0.9731649312250932,0.9702437737227758,0.9732093962809305,0.002439776065033707
0.592445453008016,0.001512148661225647,0.013105392456054688,0.0008435273812867479,0.8,0.2,0.03,5,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7926450316581389,0.7790330753639211,0.8014052562663674,0.791027787762809,0.00920471719448537,7,0.9581012716977629,0.9586298776426042,0.9550843943642369,0.9572718479015346,0.0015617449204032208
0.6559302012125651,0.033075167124287846,0.014085213343302408,0.0006850188116852027,0.8,0.0,0.03,5,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7907992803906451,0.7804265708494564,0.799967265245043,0.7903977054950482,0.007982507173522512,8,0.9582985240879976,0.9593398310135679,0.9547161385917551,0.9574514978977735,0.0019803573630494905
0.8355117638905843,0.015357035896483445,0.015966494878133137,0.0009076550180507656,0.8,0.2,0.03,3,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7879956075792623,0.7767412935323382,0.8005985783763563,0.788445159829319,0.009744881834457224,9,0.9428475703146755,0.9428721265878999,0.9366455088743841,0.9407884019256532,0.0029294849238194927
0.8590781688690186,0.022501299925560485,0.023872772852579754,0.007696818671694403,0.8,0.0,0.03,3,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7874348730169856,0.7763842822922424,0.8013468013468014,0.7883886522186764,0.010213197686049424,10,0.9427503945047805,0.9429495494863793,0.9365440210630703,0.94074798835141,0.002973765446673818
0.936377207438151,0.018743770004513237,0.014503796895345053,0.0007125628251884602,0.8,0.2,0.03,3,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7834746851709072,0.7748065229408514,0.7990319865319865,0.7857710648812484,0.010022417917911251,11,0.9521778984498283,0.948588273790742,0.9473800196596389,0.9493820639667364,0.002037561836111338
1.1027148564656575,0.101115394591066,0.017995834350585938,0.003998741553702261,0.8,0.0,0.03,3,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7828905866685357,0.7758199742030587,0.7972783389450058,0.7853296332722001,0.008928496163062929,12,0.9520299591571522,0.949225186691442,0.9472611339378141,0.9495054265954694,0.0019569234861563875
0.42172733942667645,0.008936532590149735,0.010999838511149088,1.949921313347069e-06,0.8,0.2,0.1,3,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7686269012406252,0.7702575087525336,0.7847806771417882,0.7745550290449824,0.007261204191420572,13,0.9664264828738514,0.9637660835115521,0.9582305165149665,0.9628076943001233,0.0034139272155325213
1.121846596399943,0.026359935346786312,0.020006418228149414,0.0012928515308085716,0.8,0.0,0.03,5,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7728674563678419,0.7659733738713838,0.7832140852974186,0.7740183051788815,0.007085378011950896,14,0.9864824097280237,0.9849668104103122,0.9828978539677384,0.9847823580353582,0.001469189574474814
1.2748913764953613,0.01905457193402408,0.01942722002665202,0.001701154018237152,0.8,0.2,0.03,5,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7742692927735333,0.7669292426755113,0.7807122147399925,0.7739702500630123,0.005630846569839156,15,0.9961448760790865,0.9938090897404434,0.9939107313211683,0.9946215657135661,0.0010779420531765386
1.1173757712046306,0.014738670050035499,0.01974964141845703,0.000259865533100251,0.8,0.2,0.03,5,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.771594121632672,0.7646259443523125,0.7835881967826412,0.7732694209225418,0.007831420692350202,16,0.9866274482502553,0.985184471011698,0.9827702692906581,0.9848607295175372,0.0015912393069283791
0.4299287001291911,0.00497205593380618,0.011044979095458984,0.0007622905544614089,0.8,0.2,0.1,3,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.769631550664704,0.7645798783858486,0.7824892442947999,0.7722335577817843,0.007539415432387261,17,0.9752288707880813,0.968706540920193,0.9683937959051118,0.9707764025377954,0.0031509583199367266
0.432395060857137,0.002880229275403397,0.011044502258300781,6.170574988582801e-05,0.8,0.0,0.1,3,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7648769888554006,0.7626566242859776,0.7884867190422745,0.7720067773945508,0.011688280804280533,18,0.9743397846468023,0.9677920742324908,0.9676804815741629,0.9699374468178187,0.003113256280351633
1.3796571890513103,0.021573430748167234,0.0212709903717041,0.0009397290600691283,0.8,0.0,0.03,5,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7710684329805377,0.7603418094711627,0.7815890385334832,0.7709997603283946,0.008674280859973084,19,0.9964349531235496,0.9940603489581508,0.9939600254009493,0.9948184424942165,0.0011437791643181194
0.42003480593363446,0.007055916790382859,0.010332107543945312,0.0004728898941290264,0.8,0.0,0.1,3,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7702039671970281,0.7586776764326515,0.7819865319865319,0.7702893918720705,0.009515992147931638,20,0.9679203796528358,0.9635937080017297,0.9583668001473022,0.9632936292672892,0.0039060001516713926
0.6109779675801595,0.006690665625695154,0.014204025268554688,0.000611795639339626,0.8,0.0,0.1,5,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7611504404102708,0.7571402248019163,0.7753577441077442,0.7645494697733103,0.007815990142976409,21,0.9963624338624337,0.9959331066157137,0.995351858241825,0.9958824662399909,0.00041411681683809376
0.663941224416097,0.0212561478034027,0.014381885528564453,0.0007748301084424367,0.8,0.0,0.1,5,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7578678068269433,0.751888704625023,0.7807823606434717,0.7635129573651461,0.0124528880981438,22,0.9997592360530958,0.9995296193715013,0.9994258689531387,0.9995715747925785,0.00013929249525557243
0.6072505315144857,0.004779480171202882,0.013760964075724283,0.0006140274236626453,0.8,0.2,0.1,5,5,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7569449311931964,0.7491017136539525,0.7767957351290684,0.7609474599920724,0.011654895508052094,23,0.9969599925740277,0.9956526312099009,0.9953924533663506,0.9960016923834264,0.0006858948262663661
0.816795269648234,0.007924977551610526,0.017184019088745117,0.0023874032959906965,0.8,0.2,0.1,3,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7596785121842947,0.7554933665008292,0.7664959783015339,0.760555952328886,0.004534445391648018,24,0.9899575327206905,0.9888394161436969,0.9850986896473733,0.9879652128372536,0.0020777010642418978
0.6435714562733968,0.0028770235737595566,0.013667821884155273,0.0004723858892135571,0.8,0.2,0.1,5,1,200,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 200, 'model__subsample': 0.8}",0.7606597976682787,0.7476160862354893,0.7712308267863823,0.7598355702300501,0.009658278175532295,25,0.9997244268077601,0.9994565789012376,0.9996462424862773,0.9996090827317584,0.00011246113632139302
0.8312822977701823,0.009110668140889996,0.01700170834859212,0.0008168275110067652,0.8,0.0,0.1,3,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7496436999135535,0.753731343283582,0.7688692480359146,0.7574147637443501,0.008269668065463044,26,0.9944392230576441,0.9920970211174608,0.99090959175803,0.9924819453110448,0.0014664467836483233
0.8153723080952963,0.0029481713087459675,0.015502055486043295,0.0004086291972005701,0.8,0.2,0.1,3,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7530781991074976,0.7526142435968307,0.7644851290684624,0.7567258572575969,0.005489902121479564,27,0.9937111296760419,0.9925936963152545,0.9913938336005844,0.9925662198639603,0.000946231646009395
0.8440388838450114,0.004038403597929422,0.015402952829996744,0.0005390794100879445,0.8,0.0,0.1,3,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7528095137964066,0.751762023217247,0.7634563224841002,0.7560092864992513,0.005283185140808096,28,0.9906856261022927,0.9889066133763397,0.9853161635287603,0.9883028010024643,0.002233267280507078
1.1441082954406738,0.02112886713023965,0.03893343607584635,0.01844422589744119,0.8,0.0,0.1,5,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7478680404663441,0.748088262391745,0.7612584175084175,0.7524049067888355,0.006261022997903846,29,0.9999477861319966,0.9999532540990311,0.9998550174124088,0.9999186858811454,4.5075714816538105e-05
1.2822809219360352,0.00688929311519589,0.019924640655517578,0.0010165434777186855,0.8,0.0,0.1,5,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.0, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7452629611457676,0.7384950248756219,0.768775720164609,0.7508445687286662,0.012976796836487938,30,1.0,1.0,1.0,1.0,0.0
1.2284295558929443,0.03194139357991312,0.0162813663482666,0.003158400901533943,0.8,0.2,0.1,5,1,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_weight': 1, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7477161748557277,0.7378155518702783,0.7598204264870931,0.7484507177376997,0.008998455114056256,31,1.0,1.0,1.0,1.0,0.0
0.87677001953125,0.13474284530870145,0.009974479675292969,2.360223516610066e-05,0.8,0.2,0.1,5,5,400,0.8,"{'model__colsample_bytree': 0.8, 'model__gamma': 0.2, 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__min_child_weight': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",0.7409289502581715,0.7374124746637184,0.7657828282828282,0.7480414177349061,0.012626945693609322,32,0.9999187784275504,0.9998597622970936,0.9998115226361315,0.9998633544535919,4.386060411086154e-05
