feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11
age,0.6321288,-0.160809,-0.5372067,-0.022548148,0.043665357,-0.079629235,-0.022850875,0.2943193,0.3085843,0.15504402,0.15570553
avg_glucose_level,0.30965877,0.9412806,0.041595362,0.017599463,-0.11100216,0.02214272,-0.011434694,-0.022164738,-0.022564266,-0.0068322625,-0.006872747
bmi,0.5320745,-0.19161142,0.7864047,0.010495126,0.08079498,-0.20526308,0.055067196,0.019384064,0.066448085,-0.007733996,-0.0038669368
hypertension,0.062520415,0.016820332,-0.024284653,-0.0069317687,0.0076466063,-0.019564586,0.046386223,0.067952424,0.034795716,0.058232795,-0.010092251
heart_disease,0.03582468,0.020208133,-0.043919217,-0.0017237423,0.032143697,-0.00903503,-0.0095438035,0.068662055,0.05232983,0.047467545,0.011230406
gender_Female,0.015481822,-0.08337558,0.009067464,0.02350605,-0.68322426,-0.13316777,-0.08144887,0.004377851,-0.007788634,-0.0038474074,0.005630621
gender_Male,-0.015372325,0.08295433,-0.009073207,-0.023180742,0.68328995,0.1328501,0.08185057,-0.0055968827,0.008456098,0.004576094,-0.0057622213
gender_Other,-0.00010949532,0.00042125827,5.751819e-06,-0.0003252941,-6.565834e-05,0.0003175543,-0.00040186438,0.0012190376,-0.0006674066,-0.00072872266,0.00013145237
ever_married_No,-0.25941586,0.09370081,0.15994,0.013629582,-0.022447638,-0.03345978,0.10897992,0.54450893,0.188077,0.18506727,0.11679523
ever_married_Yes,0.25941584,-0.09370078,-0.15993997,-0.013629682,0.022447623,0.033459723,-0.1089799,-0.5445088,-0.18807694,-0.18506719,-0.11679516
work_type_Govt_job,0.03104183,-0.012937479,-0.027936451,0.000101581645,0.007820121,-0.15987001,0.20336561,-0.14831491,-0.21948391,0.06967654,0.7131087
work_type_Never_worked,-0.0026138294,0.0009606405,0.0015950135,0.0025943033,-0.0010972493,0.00013045581,0.006281685,0.0031058043,-7.82941e-05,0.0009224855,0.00059469894
work_type_Private,0.08318097,-0.057403613,0.12962458,-0.016447105,-0.056420933,0.6290609,-0.51126146,0.09798266,0.18161537,-0.033236597,-0.04102259
work_type_Self-employed,0.0695504,-0.019569341,-0.12309147,0.0011621143,0.01425813,-0.2990273,0.26133922,0.11088402,-0.019374643,0.01690247,-0.64729345
work_type_children,-0.18115935,0.08894989,0.019808343,0.012589084,0.035439976,-0.17029417,0.04027505,-0.063657604,0.057321403,-0.054264937,-0.025387641
Residence_type_Rural,-0.011983642,0.014702954,0.01653854,-0.70548815,-0.01810924,-0.029785566,-0.01575582,0.0062870146,-0.009051791,0.0057292003,-0.00019860886
Residence_type_Urban,0.011983648,-0.014702956,-0.016538545,0.70548826,0.018109247,0.02978557,0.015755843,-0.0062870393,0.009051803,-0.0057291994,0.00019855601
smoking_status_Unknown,-0.16142933,0.07069253,0.012418861,0.012474036,0.07992965,-0.36677226,-0.2828713,-0.28100666,0.6174205,-0.042726733,0.06636916
smoking_status_formerly smoked,0.06292656,-0.013377728,-0.05255196,0.008289786,0.05822017,-0.110981114,-0.17515855,0.41297042,-0.3937619,-0.606026,0.052164607
smoking_status_never smoked,0.064356156,-0.04135867,0.021435987,-0.035433833,-0.16598265,0.4739503,0.6580784,-0.110111535,0.18714628,-0.0711515,-0.013843677
smoking_status_smokes,0.034146696,-0.015956111,0.018697115,0.014669989,0.027832929,0.0038030597,-0.20004863,-0.021852292,-0.41080496,0.71990436,-0.104690164
