component,explained_variance_ratio,cumulative_explained_variance
1,0.30827785,0.30827785
2,0.15628625,0.46456409
3,0.118191175,0.58275527
4,0.08465142,0.6674067
5,0.082551956,0.74995863
6,0.05624571,0.8062043
7,0.048613597,0.8548179
8,0.032860924,0.88767886
9,0.031588446,0.9192673
10,0.026663996,0.9459313
11,0.023040975,0.96897227
